,region,type of household,contents,year,value
2888,Ørskog (1977-2019),One family households with adult children (youngest child 18 years and over,Households,2019,97
2889,Ørskog (1977-2019),Two or more-family households without resident children 0-17 years,Households,2019,29
2890,Ørskog (1977-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,4
2891,Ørskog (1977-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,4
2892,Ørskog (1977-2019),Other housesholds,Households,2019,0
2893,Norddal (-2019),Living alone,Households,2019,260
2894,Norddal (-2019),Couple without resident children,Households,2019,183
2895,Norddal (-2019),Couple with small children (youngest child 0-5 years),Households,2019,48
2896,Norddal (-2019),Couple with older children (youngest child 6-17 years),Households,2019,85
2897,Norddal (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,5
2898,Norddal (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,10
2899,Norddal (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,74
2900,Norddal (-2019),Two or more-family households without resident children 0-17 years,Households,2019,18
2901,Norddal (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,8
2902,Norddal (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,6
2903,Norddal (-2019),Other housesholds,Households,2019,0
2904,Stranda,Living alone,Households,2019,698
2905,Stranda,Couple without resident children,Households,2019,515
2906,Stranda,Couple with small children (youngest child 0-5 years),Households,2019,169
2907,Stranda,Couple with older children (youngest child 6-17 years),Households,2019,229
2908,Stranda,Lone parent with small children (youngest child 0-5 years),Households,2019,12
2909,Stranda,Lone parent with older children (youngest child 6-17 years),Households,2019,47
2910,Stranda,One family households with adult children (youngest child 18 years and over,Households,2019,196
2911,Stranda,Two or more-family households without resident children 0-17 years,Households,2019,71
2912,Stranda,Two or more-family households with small children (youngest child 0-5 years),Households,2019,10
2913,Stranda,Two or more-family households with older children (youngest child 6-17 years),Households,2019,14
2914,Stranda,Other housesholds,Households,2019,0
2915,Stordal (-2019),Living alone,Households,2019,143
2916,Stordal (-2019),Couple without resident children,Households,2019,99
2917,Stordal (-2019),Couple with small children (youngest child 0-5 years),Households,2019,23
2918,Stordal (-2019),Couple with older children (youngest child 6-17 years),Households,2019,59
2919,Stordal (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,2
2920,Stordal (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,18
2921,Stordal (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,43
2922,Stordal (-2019),Two or more-family households without resident children 0-17 years,Households,2019,10
2923,Stordal (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,3
2924,Stordal (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,2
2925,Stordal (-2019),Other housesholds,Households,2019,0
2926,Sykkylven,Living alone,Households,2019,1058
2927,Sykkylven,Couple without resident children,Households,2019,818
2928,Sykkylven,Couple with small children (youngest child 0-5 years),Households,2019,307
2929,Sykkylven,Couple with older children (youngest child 6-17 years),Households,2019,405
2930,Sykkylven,Lone parent with small children (youngest child 0-5 years),Households,2019,24
2931,Sykkylven,Lone parent with older children (youngest child 6-17 years),Households,2019,122
2932,Sykkylven,One family households with adult children (youngest child 18 years and over,Households,2019,325
2933,Sykkylven,Two or more-family households without resident children 0-17 years,Households,2019,101
2934,Sykkylven,Two or more-family households with small children (youngest child 0-5 years),Households,2019,20
2935,Sykkylven,Two or more-family households with older children (youngest child 6-17 years),Households,2019,20
2936,Sykkylven,Other housesholds,Households,2019,0
2937,Skodje (-2019),Living alone,Households,2019,593
2938,Skodje (-2019),Couple without resident children,Households,2019,467
2939,Skodje (-2019),Couple with small children (youngest child 0-5 years),Households,2019,273
2940,Skodje (-2019),Couple with older children (youngest child 6-17 years),Households,2019,240
2941,Skodje (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,20
2942,Skodje (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,69
2943,Skodje (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,195
2944,Skodje (-2019),Two or more-family households without resident children 0-17 years,Households,2019,53
2945,Skodje (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,12
2946,Skodje (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,10
2947,Skodje (-2019),Other housesholds,Households,2019,0
2948,Sula,Living alone,Households,2019,1138
2949,Sula,Couple without resident children,Households,2019,855
2950,Sula,Couple with small children (youngest child 0-5 years),Households,2019,521
2951,Sula,Couple with older children (youngest child 6-17 years),Households,2019,491
2952,Sula,Lone parent with small children (youngest child 0-5 years),Households,2019,48
2953,Sula,Lone parent with older children (youngest child 6-17 years),Households,2019,134
2954,Sula,One family households with adult children (youngest child 18 years and over,Households,2019,362
2955,Sula,Two or more-family households without resident children 0-17 years,Households,2019,105
2956,Sula,Two or more-family households with small children (youngest child 0-5 years),Households,2019,23
2957,Sula,Two or more-family households with older children (youngest child 6-17 years),Households,2019,15
2958,Sula,Other housesholds,Households,2019,0
2959,Giske,Living alone,Households,2019,954
2960,Giske,Couple without resident children,Households,2019,824
2961,Giske,Couple with small children (youngest child 0-5 years),Households,2019,480
2962,Giske,Couple with older children (youngest child 6-17 years),Households,2019,448
2963,Giske,Lone parent with small children (youngest child 0-5 years),Households,2019,29
2964,Giske,Lone parent with older children (youngest child 6-17 years),Households,2019,121
2965,Giske,One family households with adult children (youngest child 18 years and over,Households,2019,274
2966,Giske,Two or more-family households without resident children 0-17 years,Households,2019,99
2967,Giske,Two or more-family households with small children (youngest child 0-5 years),Households,2019,24
2968,Giske,Two or more-family households with older children (youngest child 6-17 years),Households,2019,24
2969,Giske,Other housesholds,Households,2019,0
2970,Haram (-2019),Living alone,Households,2019,1428
2971,Haram (-2019),Couple without resident children,Households,2019,1051
2972,Haram (-2019),Couple with small children (youngest child 0-5 years),Households,2019,433
2973,Haram (-2019),Couple with older children (youngest child 6-17 years),Households,2019,481
2974,Haram (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,30
2975,Haram (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,127
2976,Haram (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,342
2977,Haram (-2019),Two or more-family households without resident children 0-17 years,Households,2019,109
2978,Haram (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,27
2979,Haram (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,27
2980,Haram (-2019),Other housesholds,Households,2019,0
2981,Vestnes,Living alone,Households,2019,1113
2982,Vestnes,Couple without resident children,Households,2019,736
2983,Vestnes,Couple with small children (youngest child 0-5 years),Households,2019,244
2984,Vestnes,Couple with older children (youngest child 6-17 years),Households,2019,296
2985,Vestnes,Lone parent with small children (youngest child 0-5 years),Households,2019,25
2986,Vestnes,Lone parent with older children (youngest child 6-17 years),Households,2019,104
2987,Vestnes,One family households with adult children (youngest child 18 years and over,Households,2019,285
2988,Vestnes,Two or more-family households without resident children 0-17 years,Households,2019,83
2989,Vestnes,Two or more-family households with small children (youngest child 0-5 years),Households,2019,15
2990,Vestnes,Two or more-family households with older children (youngest child 6-17 years),Households,2019,14
